Indiv	tissue	Endothelial cells	Epithelial cells	Fibroblasts	Hepatocytes	Keratinocytes	Mesenchymal stem cells	Myocytes	Sebocytes	Adipocytes	Neutrophils
GTEX-1117F	Adipose-Subcutaneous	0.5004	0.1625	0.9164	0.0039	0.0171	0.0448	0.0372	0.0179	0.2012	0.0049
GTEX-1117F	Muscle-Skeletal	0.3207	0.0834	0.3082	0.0035	0.0146	0.2878	0.422	0.0192	0.0669	0.0029
GTEX-1117F	Artery-Tibial	0.358	0.07	0.8642	0.0023	0.0069	0.1043	0.0577	0.004	0.0087	0.0024
GTEX-1117F	Artery-Coronary	0.6269	0.0519	1.0904	0.0053	0	0.2211	0.0745	0	0.2099	0.0052
GTEX-1117F	Heart-AtrialAppendage	0.5089	0.0239	1.1367	0.004	0	0.1154	0.2323	0.0011	0.0521	0.0057
GTEX-1117F	Adipose-Visceral_Omentum	0.7601	0.0613	0.8056	0.0059	0.0034	0.1892	0.0221	0.0017	0.2868	0.0172
GTEX-1117F	Uterus	0.4436	0.0194	1.1763	0.0013	0	0.1711	0.0428	1e-4	0.0035	0.0024
GTEX-1117F	Vagina	0.1083	0.9792	0.4659	6e-4	0.4171	0.0412	0.0197	0.5128	2e-4	0.0052
GTEX-1117F	Breast-MammaryTissue	0.675	0.2865	0.8169	0.005	0.0303	0.0215	0.021	0.0163	0.1525	0.0166
GTEX-1117F	Skin-NotSunExposed_Suprapubic	0.2669	0.8537	0.576	0.002	0.3267	0.1366	0.0418	0.3217	0.0142	0.0022
GTEX-1117F	MinorSalivaryGland	0.1527	0.8392	0.4797	0.0031	0.2261	0	0.0087	0.3777	0.0088	0.0023
GTEX-1117F	Brain-Cortex	0.1119	0.0126	0.0689	0.0021	0.0018	0.4765	0.011	0	0.0066	0.0026
GTEX-111CU	AdrenalGland	0.1649	0.0309	0.6247	0.0088	0	0.1288	0.0206	3e-4	0.0042	8e-4
GTEX-111CU	Thyroid	0.4942	0.4027	0.6952	0.005	0.0249	0.0877	0.0276	0.0146	0.0094	0.0047
GTEX-111CU	Lung	0.5457	0.5902	0.7251	0.0066	0.053900000000000003	0.0189	0.0353	0.0449	0.0062	0.1716
GTEX-111CU	Spleen	0.2761	0.0712	0.4071	0.3121	0.0037	0	0.0075	0.0054	0.0638	0.2769
GTEX-111CU	Pancreas	0.0658	0.4715	0.3037	0.0297	0.02	0.5173	0.0195	0.0201	0	0.001
GTEX-111CU	Esophagus-Muscularis	0.2862	0.0285	0.9792	0.0015	0	0.2245	0.0455	5e-4	0.0236	0.0034
GTEX-111CU	Esophagus-Mucosa	0.1406	0.9854	0.4501	9e-4	0.4156	0.0305	0.0312	0.5125	0.0138	0.0095
GTEX-111CU	Esophagus-GastroesophagealJunction	0.2468	0.0524	0.9359	0.0027	6e-4	0.326	0.0505	0.0016	0.0261	0.0018
GTEX-111CU	Stomach	0.1115	0.7653	0.2961	0.0156	0.0556	0.209	0.0103	0.0527	0.0068	0.0012
GTEX-111CU	Adipose-Visceral_Omentum	0.5906	0.0678	0.6309	0.0093	0.0038	0.0966	0.0228	0.0031	0.6344	0.0846
GTEX-111CU	Skin-NotSunExposed_Suprapubic	0.1413	0.9508	0.298	0.0024	0.3515	0.253	0.0239	0.4801	0.0259	0.0027
GTEX-111CU	Colon-Sigmoid	0.2304	0.0532	0.9588	0.0026	2e-4	0.3448	0.0404	0.0027	0.0855	9e-4
GTEX-111CU	SmallIntestine-TerminalIleum	0.3335	0.1206	1.0343	0.0103	0.0033	0.0218	0.0421	0.0028	0.2034	0.0167
GTEX-111CU	Colon-Transverse	0.1278	0.8385	0.1938	0.0147	0.0928	0	0.0135	0.1004	0.0087	0.0114
GTEX-111CU	Prostate	0.2181	0.4308	0.8716	0.0044	0.0543	0.0872	0.0383	0.0284	0.0037	0.0025
GTEX-111CU	Testis	0.024	0.0489	0.0388	0	0.0053	0.9596	0.0284	8e-4	0	1e-4
GTEX-111CU	Adipose-Subcutaneous	0.5133	0.0725	0.744	0.0074	0.0012	0	0.0152	0.0075	0.5389	0.0109
